,datetime,description,icon
0,2025-01-27,Partly cloudy throughout the day with late afternoon rain.,rain
1,2025-01-28,Partly cloudy throughout the day.,partly-cloudy-day
2,2025-01-29,Partly cloudy throughout the day with rain.,rain
3,2025-01-30,Cloudy skies throughout the day with rain.,rain
4,2025-01-31,Cloudy skies throughout the day with late afternoon rain.,rain
5,2025-02-01,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
6,2025-02-02,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
7,2025-02-03,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
