,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2025-01-27,25.3,20.4,22.1,25.3,20.4,22.1,19.3,84.2,0.6,100,4.17,rain,0,0,26.6,19.3,142.4,1016.4,83.0,9.4,68.8,5.9,3,30,2025-01-27T05:43:28,2025-01-27T18:57:25,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2025-01-28,27.0,19.3,22.4,28.5,19.3,22.5,19.9,86.2,0.0,0,0.0,rain,0,0,30.2,17.5,125.8,1015.7,74.4,8.2,94.4,8.2,7,30,2025-01-28T05:44:11,2025-01-28T18:57:05,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2025-01-29,25.0,21.0,22.1,25.0,21.0,22.1,20.5,90.9,23.0,100,8.33,rain,0,0,37.1,12.9,116.7,1014.8,90.0,8.4,62.0,5.3,5,30,2025-01-29T05:44:53,2025-01-29T18:56:43,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2025-01-30,25.0,21.0,22.2,25.0,21.0,22.2,20.6,91.2,18.0,100,12.5,rain,0,0,38.9,17.0,350.2,1013.5,91.9,8.4,80.3,7.0,8,30,2025-01-30T05:45:35,2025-01-30T18:56:21,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2025-01-31,26.6,20.5,23.0,26.6,20.5,23.0,19.9,83.5,18.0,100,4.17,rain,0,0,28.1,16.8,5.0,1012.5,90.9,9.5,88.7,7.7,5,10,2025-01-31T05:46:17,2025-01-31T18:55:56,0.07,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2025-02-01,26.4,19.2,22.2,26.4,19.2,22.2,19.7,87.1,17.0,100,8.33,rain,0,0,32.8,17.8,359.8,1012.2,84.1,8.4,102.6,8.7,4,10,2025-02-01T05:46:58,2025-02-01T18:55:31,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2025-02-02,26.8,20.9,22.9,28.6,20.9,23.0,20.6,87.9,9.6,100,62.5,rain,0,0,30.2,18.8,1.5,1012.5,78.3,9.2,137.4,11.7,7,30,2025-02-02T05:47:39,2025-02-02T18:55:04,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
7,"Itapevi, SP, Brasil",2025-02-03,26.5,18.9,22.6,26.5,18.9,22.6,19.6,84.0,9.7,100,75.0,rain,0,0,41.4,18.7,353.0,1014.7,88.4,9.9,90.5,8.0,5,10,2025-02-03T05:48:19,2025-02-03T18:54:36,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
