,datetime,tempmin,temp,tempmax
0,2025-01-27,20.4,22.1,25.3
1,2025-01-28,19.3,22.4,27.0
2,2025-01-29,21.0,22.1,25.0
3,2025-01-30,21.0,22.2,25.0
4,2025-01-31,20.5,23.0,26.6
5,2025-02-01,19.2,22.2,26.4
6,2025-02-02,20.9,22.9,26.8
7,2025-02-03,18.9,22.6,26.5
