,datetime,description,icon
0,2024-12-02,Partly cloudy throughout the day with late afternoon rain.,rain
1,2024-12-03,Partly cloudy throughout the day with morning rain.,rain
2,2024-12-04,Cloudy skies throughout the day with morning rain.,rain
3,2024-12-05,Cloudy skies throughout the day with rain.,rain
4,2024-12-06,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-12-07,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-12-08,Partly cloudy throughout the day with rain.,rain
7,2024-12-09,Partly cloudy throughout the day with rain.,rain
