,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-12-02,29.6,21.6,24.8,31.8,21.6,25.4,20.4,77.1,2.0,100,4.17,rain,0,0,52.6,24.0,324.0,1012.2,68.4,9.8,107.3,9.1,5,,2024-12-02T05:12:47,2024-12-02T18:42:13,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-12-03,23.5,20.0,21.9,23.5,20.0,21.9,20.0,89.1,15.0,100,4.17,rain,0,0,49.3,19.5,262.1,1012.8,80.4,8.6,56.2,4.9,4,,2024-12-03T05:12:53,2024-12-03T18:42:54,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-12-04,20.0,17.1,18.2,20.0,17.1,18.2,16.1,87.5,7.0,100,4.17,rain,0,0,49.7,21.7,139.8,1016.9,95.5,9.9,55.7,4.8,2,,2024-12-04T05:13:01,2024-12-04T18:43:34,0.12,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-12-05,27.5,17.0,21.0,29.2,17.0,21.1,18.6,87.0,12.1,100,8.33,rain,0,0,34.2,19.7,107.8,1015.9,91.8,7.8,112.3,9.7,4,,2024-12-05T05:13:10,2024-12-05T18:44:15,0.15,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-12-06,31.7,21.0,25.9,33.1,21.0,26.5,19.8,71.9,0.0,0,0.0,,0,0,53.3,23.1,338.6,1014.8,55.8,8.8,197.0,17.0,8,,2024-12-06T05:13:20,2024-12-06T18:44:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-12-07,32.1,21.5,26.2,32.1,21.5,26.5,19.1,67.8,0.0,0,0.0,,0,0,54.0,24.6,309.0,1014.4,79.5,10.2,170.4,14.8,7,,2024-12-07T05:13:32,2024-12-07T18:45:35,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-12-08,25.1,21.1,22.9,25.1,21.1,22.9,19.5,81.4,0.2,100,8.33,rain,0,0,39.2,14.1,201.9,1016.4,82.4,10.1,59.1,5.2,2,,2024-12-08T05:13:45,2024-12-08T18:46:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-12-09,25.7,21.1,23.0,25.7,21.1,23.0,19.4,80.5,0.5,100,8.33,rain,0,0,39.6,16.2,157.1,1015.6,82.8,10.0,68.8,6.0,2,,2024-12-09T05:14:00,2024-12-09T18:46:53,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
