,datetime,description,icon
0,2024-11-18,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-11-19,Clearing in the afternoon.,partly-cloudy-day
2,2024-11-20,Partly cloudy throughout the day with afternoon rain.,rain
3,2024-11-21,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
4,2024-11-22,Partly cloudy throughout the day with rain in the morning and afternoon.,rain
5,2024-11-23,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-11-24,Partly cloudy throughout the day with morning rain.,rain
7,2024-11-25,Partly cloudy throughout the day.,partly-cloudy-day
