,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-11-18,30.9,17.7,23.3,30.4,17.7,23.4,16.7,69.1,0.0,0,0.0,,0,0,26.6,16.3,126.2,1015.1,47.6,9.9,200.4,17.4,7,10,2024-11-18T05:13:53,2024-11-18T18:32:26,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
1,"Itapevi, SP, Brasil",2024-11-19,29.0,17.9,22.0,28.8,17.9,22.0,16.1,70.4,0.0,0,0.0,,0,0,35.3,23.5,156.5,1015.8,55.0,9.8,197.5,17.1,7,10,2024-11-19T05:13:39,2024-11-19T18:33:08,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
2,"Itapevi, SP, Brasil",2024-11-20,31.2,17.2,22.9,32.1,17.2,23.2,17.7,74.6,0.1,100,4.17,rain,0,0,35.3,19.9,162.0,1015.8,75.4,9.4,184.8,16.0,7,10,2024-11-20T05:13:26,2024-11-20T18:33:49,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
3,"Itapevi, SP, Brasil",2024-11-21,23.5,19.5,20.9,23.5,19.5,20.9,17.8,82.3,1.6,100,25.0,rain,0,0,41.8,21.5,148.8,1018.1,89.5,9.6,75.7,6.8,3,10,2024-11-21T05:13:15,2024-11-21T18:34:31,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,SBKP,83075099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-11-22,21.6,18.5,19.7,21.6,18.5,19.7,16.7,83.1,0.3,100,8.33,rain,0,0,36.4,20.2,135.2,1018.3,89.5,10.0,73.7,6.2,3,10,2024-11-22T05:13:05,2024-11-22T18:35:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-11-23,22.7,17.0,19.4,22.7,17.0,19.4,16.0,81.3,0.0,0,0.0,rain,0,0,51.8,26.3,139.8,1018.3,79.8,10.1,113.0,9.7,4,10,2024-11-23T05:12:57,2024-11-23T18:35:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-11-24,22.2,15.5,18.2,22.2,15.5,18.2,13.7,76.0,0.3,100,4.17,rain,0,0,38.9,24.4,134.4,1020.2,77.8,10.2,123.6,10.4,7,10,2024-11-24T05:12:50,2024-11-24T18:36:37,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-11-25,28.1,15.8,21.1,28.1,15.8,21.1,14.9,69.3,0.0,0,0.0,rain,0,0,28.4,21.8,114.5,1019.1,53.7,10.3,191.9,16.7,7,10,2024-11-25T05:12:44,2024-11-25T18:37:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
