,datetime,description,icon
0,2025-02-03,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
1,2025-02-04,Cloudy skies throughout the day with afternoon rain.,rain
2,2025-02-05,Partly cloudy throughout the day with storms possible.,rain
3,2025-02-06,Clear conditions throughout the day with storms possible.,rain
4,2025-02-07,Partly cloudy throughout the day with storms possible.,rain
5,2025-02-08,Partly cloudy throughout the day with storms possible.,rain
6,2025-02-09,Partly cloudy throughout the day with storms possible.,rain
7,2025-02-10,Partly cloudy throughout the day with storms possible.,rain
