,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2025-02-03,26.5,18.9,22.6,26.5,18.9,22.6,19.6,84.0,9.7,100.0,75.0,rain,0,0,41.4,18.7,353.0,1014.7,88.4,9.9,90.5,8.0,5,10,2025-02-03T05:48:19,2025-02-03T18:54:36,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
1,"Itapevi, SP, Brasil",2025-02-04,21.6,18.1,19.8,21.6,18.1,19.8,18.7,93.6,0.4,58.1,16.67,rain,0,0,28.4,8.3,331.6,1014.3,97.5,24.1,58.9,5.2,3,10,2025-02-04T05:49:00,2025-02-04T18:54:07,0.22,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,
2,"Itapevi, SP, Brasil",2025-02-05,28.8,18.1,22.1,29.4,18.1,22.2,18.1,79.7,1.9,90.3,29.17,rain,0,0,21.6,13.0,312.9,1014.0,65.9,22.7,254.0,21.8,10,30,2025-02-05T05:49:39,2025-02-05T18:53:37,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
3,"Itapevi, SP, Brasil",2025-02-06,27.8,18.1,22.2,28.8,18.1,22.4,18.7,82.1,5.8,71.0,58.33,rain,0,0,15.1,10.4,302.2,1014.4,17.1,22.5,340.5,29.3,10,60,2025-02-06T05:50:19,2025-02-06T18:53:05,0.29,Rain,Clear conditions throughout the day with storms possible.,rain,
4,"Itapevi, SP, Brasil",2025-02-07,30.0,17.6,22.6,30.4,17.6,22.8,18.0,77.9,1.1,93.5,20.83,rain,0,0,22.3,8.6,258.0,1014.4,22.5,24.1,282.6,24.4,10,30,2025-02-07T05:50:58,2025-02-07T18:52:32,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
5,"Itapevi, SP, Brasil",2025-02-08,29.5,18.4,22.4,30.4,18.4,22.6,18.8,82.1,16.7,83.9,25.0,rain,0,0,11.2,10.4,149.1,1014.4,61.2,23.8,292.2,25.5,9,30,2025-02-08T05:51:36,2025-02-08T18:51:58,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
6,"Itapevi, SP, Brasil",2025-02-09,29.3,18.7,23.1,29.6,18.7,23.2,18.1,76.3,1.0,90.3,12.5,rain,0,0,14.0,10.4,316.2,1014.4,77.7,24.1,303.6,26.1,10,60,2025-02-09T05:52:14,2025-02-09T18:51:23,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
7,"Itapevi, SP, Brasil",2025-02-10,28.8,18.4,23.4,29.3,18.4,23.5,17.9,73.3,0.2,87.1,8.33,rain,0,0,16.9,11.2,320.2,1013.5,81.8,24.1,289.3,24.9,9,60,2025-02-10T05:52:52,2025-02-10T18:50:47,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
