,datetime,description,icon
0,2024-10-28,Cloudy skies throughout the day.,cloudy
1,2024-10-29,Cloudy skies throughout the day.,cloudy
2,2024-10-30,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-10-31,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-11-01,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-11-02,Partly cloudy throughout the day with rain.,rain
6,2024-11-03,Partly cloudy throughout the day with rain.,rain
7,2024-11-04,Cloudy skies throughout the day with rain.,rain
