,datetime,tempmin,temp,tempmax
0,2024-10-28,16.0,18.0,21.0
1,2024-10-29,18.0,19.5,22.5
2,2024-10-30,16.3,20.1,24.7
3,2024-10-31,15.8,19.7,24.5
4,2024-11-01,17.1,21.2,28.1
5,2024-11-02,19.0,21.8,28.8
6,2024-11-03,18.5,20.2,22.5
7,2024-11-04,19.0,20.5,23.4
