,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-10-28,21.0,16.0,18.0,21.0,16.0,18.0,15.8,87.9,0.0,0,0.0,,0,0,37.1,15.8,123.7,1021.1,94.9,8.6,57.4,4.9,4,10,2024-10-28T05:24:00,2024-10-28T18:19:15,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-10-29,22.5,18.0,19.5,22.5,18.0,19.5,16.7,84.1,0.0,0,0.0,,0,0,40.3,16.4,127.4,1019.2,94.9,9.4,55.1,4.7,2,10,2024-10-29T05:23:19,2024-10-29T18:19:48,0.9,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-10-30,24.7,16.3,20.1,24.7,16.3,20.1,15.5,75.8,0.0,0,0.0,,0,0,41.4,23.7,143.0,1018.6,76.0,9.7,155.4,13.4,7,10,2024-10-30T05:22:39,2024-10-30T18:20:21,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-10-31,24.5,15.8,19.7,24.5,15.8,19.7,14.6,72.9,0.0,0,0.0,,0,0,45.0,25.0,124.0,1018.7,66.2,10.2,190.6,16.7,7,10,2024-10-31T05:22:00,2024-10-31T18:20:56,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-11-01,28.1,17.1,21.2,28.3,17.1,21.2,16.1,74.0,0.0,0,0.0,rain,0,0,34.2,22.7,120.4,1018.3,68.7,10.3,200.1,17.2,7,10,2024-11-01T05:21:23,2024-11-01T18:21:30,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-11-02,28.8,19.0,21.8,28.9,19.0,21.8,17.9,80.3,43.0,100,8.33,rain,0,0,31.7,18.9,88.1,1017.9,80.8,9.4,123.4,10.6,6,10,2024-11-02T05:20:46,2024-11-02T18:22:06,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-11-03,22.5,18.5,20.2,22.5,18.5,20.2,18.4,89.6,5.8,100,8.33,rain,0,0,27.7,18.0,103.6,1017.0,89.7,7.3,51.9,4.4,4,10,2024-11-03T05:20:11,2024-11-03T18:22:41,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-11-04,23.4,19.0,20.5,23.4,19.0,20.5,18.5,88.4,7.2,100,8.33,rain,0,0,26.6,11.3,58.8,1016.7,90.9,8.5,54.0,4.6,2,10,2024-11-04T05:19:37,2024-11-04T18:23:17,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
