,datetime,description,icon
0,2024-10-14,Partly cloudy throughout the day with rain clearing later.,rain
1,2024-10-15,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-10-16,Partly cloudy throughout the day with storms possible.,rain
3,2024-10-17,Becoming cloudy in the afternoon with storms possible.,rain
4,2024-10-18,Partly cloudy throughout the day with a chance of rain.,rain
5,2024-10-19,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
6,2024-10-20,Cloudy skies throughout the day with a chance of rain.,rain
7,2024-10-21,Cloudy skies throughout the day with storms possible.,rain
