,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-10-14,23.5,16.6,18.8,23.5,16.6,18.8,15.3,80.6,0.2,100.0,8.33,rain,0,0,37.4,21.5,137.9,1025.1,87.4,9.1,83.2,7.3,5,10,2024-10-14T05:35:12,2024-10-14T18:12:21,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBMT,SBKP,F7461,SBSP,SBGR"
1,"Itapevi, SP, Brasil",2024-10-15,31.6,16.7,20.5,30.2,16.7,20.5,14.9,72.3,0.0,3.2,0.0,,0,0,30.2,17.1,118.6,1020.1,61.8,11.4,192.8,16.5,6,10,2024-10-15T05:34:19,2024-10-15T18:12:48,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR,remote"
2,"Itapevi, SP, Brasil",2024-10-16,31.7,16.3,22.7,30.4,16.3,22.5,14.8,65.6,3.0,93.5,12.5,rain,0,0,20.5,19.8,179.3,1013.5,68.9,23.4,268.2,23.1,10,30,2024-10-16T05:33:26,2024-10-16T18:13:15,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
3,"Itapevi, SP, Brasil",2024-10-17,33.3,17.0,22.9,32.3,17.0,22.8,15.6,67.6,0.0,48.4,0.0,rain,0,0,29.5,14.0,138.6,1013.0,36.5,24.1,250.4,21.6,10,30,2024-10-17T05:32:34,2024-10-17T18:13:42,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
4,"Itapevi, SP, Brasil",2024-10-18,32.7,17.7,22.5,31.6,17.7,22.3,15.6,70.1,7.9,77.4,33.33,rain,0,0,28.4,21.6,126.6,1011.6,74.8,20.6,241.8,20.9,9,10,2024-10-18T05:31:43,2024-10-18T18:14:10,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
5,"Itapevi, SP, Brasil",2024-10-19,19.5,17.9,18.7,19.5,17.9,18.7,18.0,95.7,18.7,96.8,91.67,rain,0,0,30.6,11.2,126.8,1009.7,99.0,14.2,25.1,2.1,1,10,2024-10-19T05:30:53,2024-10-19T18:14:38,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
6,"Itapevi, SP, Brasil",2024-10-20,23.2,16.5,19.1,23.2,16.5,19.1,17.1,88.5,2.0,87.1,20.83,rain,0,0,33.5,12.2,122.5,1010.3,94.3,20.3,174.3,15.2,6,10,2024-10-20T05:30:03,2024-10-20T18:15:07,0.6,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
7,"Itapevi, SP, Brasil",2024-10-21,23.7,18.3,20.4,23.7,18.3,20.4,18.7,90.1,7.2,71.0,16.67,rain,0,0,20.5,8.3,123.0,1013.2,99.8,20.1,137.4,11.7,5,30,2024-10-21T05:29:15,2024-10-21T18:15:36,0.64,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
