,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-11-25,28.1,15.8,21.1,28.1,15.8,21.1,14.9,69.5,0,0,0.0,,0,0,28.4,21.1,116.6,1019.3,54.0,10.3,191.9,16.7,7,,2024-11-25T05:12:44,2024-11-25T18:37:19,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-11-26,30.6,18.4,24.9,29.9,18.4,24.7,14.8,56.6,0,0,0.0,,0,0,42.1,18.4,336.0,1016.7,33.8,10.3,215.9,18.7,9,,2024-11-26T05:12:40,2024-11-26T18:38:02,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-11-27,32.5,21.4,27.9,32.0,21.4,27.6,15.1,47.6,0,0,0.0,,0,0,48.2,20.3,338.4,1014.0,54.6,10.3,178.5,15.3,7,,2024-11-27T05:12:38,2024-11-27T18:38:44,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-11-28,33.1,21.1,26.4,33.3,21.1,26.5,17.2,59.8,11,100,4.17,rain,0,0,45.4,23.7,320.6,1013.3,76.0,10.0,147.0,12.6,7,,2024-11-28T05:12:37,2024-11-28T18:39:26,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-11-29,27.1,20.8,24.0,28.3,20.8,24.1,19.4,76.1,0,0,0.0,,0,0,43.2,16.9,329.8,1014.5,74.6,10.3,108.0,9.3,7,,2024-11-29T05:12:37,2024-11-29T18:40:08,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-11-30,28.1,20.5,23.5,30.1,20.5,23.8,20.0,81.7,0,0,0.0,,0,0,29.5,20.1,163.8,1015.6,86.0,9.4,123.2,10.5,5,,2024-11-30T05:12:39,2024-11-30T18:40:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-12-01,29.2,20.1,23.3,30.5,20.1,23.5,18.9,77.4,0,0,0.0,,0,0,28.1,21.6,113.0,1014.7,66.5,9.6,172.5,14.8,7,,2024-12-01T05:12:42,2024-12-01T18:41:31,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-12-02,29.6,21.6,24.8,31.8,21.6,25.4,20.4,77.1,2,100,4.17,rain,0,0,52.6,24.0,324.0,1012.2,68.4,9.8,107.3,9.1,5,,2024-12-02T05:12:47,2024-12-02T18:42:13,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
