,datetime,description,icon
0,2024-11-25,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-11-26,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-11-27,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-11-28,Partly cloudy throughout the day with late afternoon rain.,rain
4,2024-11-29,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-11-30,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-12-01,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-12-02,Partly cloudy throughout the day with late afternoon rain.,rain
