,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-10-21,24.1,17.0,20.5,24.1,17.0,20.5,17.4,83.3,0.0,0,0.0,rain,0,0,34.6,17.8,116.9,1019.7,79.4,9.8,105.2,9.1,4,10,2024-10-21T05:29:15,2024-10-21T18:15:36,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-10-22,30.1,20.0,24.5,31.1,20.0,24.8,18.8,72.9,0.0,0,0.0,rain,0,0,35.3,18.0,67.4,1019.1,66.5,10.1,196.2,17.0,7,30,2024-10-22T05:28:27,2024-10-22T18:16:06,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-10-23,28.1,20.1,23.6,30.2,20.1,24.0,20.3,82.3,18.0,100,4.17,rain,0,0,32.4,17.5,54.5,1016.1,79.9,9.4,101.3,8.8,4,30,2024-10-23T05:27:40,2024-10-23T18:16:36,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-10-24,29.1,20.1,23.4,30.7,20.1,23.7,19.2,78.7,9.3,100,12.5,rain,0,0,57.2,32.9,326.5,1011.6,63.4,9.7,157.3,13.5,7,30,2024-10-24T05:26:54,2024-10-24T18:17:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-10-25,27.1,20.0,23.2,28.3,20.0,23.2,19.1,78.6,14.7,100,4.17,rain,0,0,69.1,26.4,339.2,1011.7,78.3,9.9,121.0,10.4,6,30,2024-10-25T05:26:09,2024-10-25T18:17:38,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-10-26,28.6,18.5,23.3,30.7,18.5,23.6,18.3,74.3,0.0,0,0.0,rain,0,0,43.9,19.3,237.5,1015.9,72.5,9.8,122.9,10.7,4,30,2024-10-26T05:25:25,2024-10-26T18:18:10,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-10-27,18.1,16.0,16.7,18.1,16.0,16.7,14.9,89.1,8.6,100,12.5,rain,0,0,43.9,20.9,138.1,1022.1,96.3,8.4,34.5,2.9,2,10,2024-10-27T05:24:42,2024-10-27T18:18:42,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-10-28,21.0,16.0,18.0,21.0,16.0,18.0,15.8,87.9,0.0,0,0.0,,0,0,37.1,15.8,123.7,1021.1,94.9,8.6,57.4,4.9,4,10,2024-10-28T05:24:00,2024-10-28T18:19:15,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
