,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-11-04,23.4,19.0,20.5,23.4,19.0,20.5,18.5,88.4,7.2,100,8.33,rain,0,0,26.6,11.3,58.8,1016.7,90.9,8.5,54.0,4.6,2,,2024-11-04T05:19:37,2024-11-04T18:23:17,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-11-05,27.4,19.5,22.6,28.7,19.5,22.6,19.1,81.4,8.0,100,4.17,rain,0,0,29.5,13.8,71.5,1016.7,82.9,9.0,142.1,12.3,6,,2024-11-05T05:19:04,2024-11-05T18:23:54,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-11-06,27.6,21.0,22.8,28.8,21.0,22.9,19.9,85.0,2.0,100,4.17,rain,0,0,36.4,18.5,56.5,1015.6,80.7,9.0,141.8,12.3,7,,2024-11-06T05:18:32,2024-11-06T18:24:31,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-11-07,23.0,21.0,22.0,23.0,21.0,22.0,19.7,86.5,3.5,100,8.33,rain,0,0,51.8,24.6,348.9,1012.3,79.0,9.5,71.0,6.0,3,,2024-11-07T05:18:01,2024-11-07T18:25:09,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-11-08,22.5,18.0,20.0,22.5,18.0,20.0,18.7,92.0,39.5,100,12.5,rain,0,0,47.2,21.3,237.5,1011.1,92.3,7.9,51.7,4.4,2,,2024-11-08T05:17:32,2024-11-08T18:25:47,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-11-09,21.4,15.5,17.9,21.4,15.5,17.9,15.3,85.1,0.0,0,0.0,,0,0,36.0,19.6,148.9,1015.9,87.2,9.6,80.6,6.9,3,,2024-11-09T05:17:04,2024-11-09T18:26:25,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-11-10,22.6,14.0,18.1,22.6,14.0,18.1,13.8,76.8,0.0,0,0.0,,0,0,34.9,19.9,132.9,1017.0,78.4,10.4,149.9,12.9,6,,2024-11-10T05:16:37,2024-11-10T18:27:04,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-11-11,29.6,15.1,22.3,28.5,15.1,22.1,13.3,60.7,0.0,0,0.0,,0,0,39.2,21.3,314.6,1013.7,29.1,10.2,214.6,18.4,7,,2024-11-11T05:16:12,2024-11-11T18:27:43,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
