,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-12-09,25.7,21.1,23.0,25.7,21.1,23.0,19.4,80.5,0.5,100,8.33,rain,0,0,39.6,16.2,157.1,1015.6,82.8,10.0,68.8,6.0,2,,2024-12-09T05:14:00,2024-12-09T18:46:53,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-12-10,27.2,17.0,21.4,29.1,17.0,21.5,19.1,87.1,6.0,100,8.33,rain,0,0,60.1,23.6,259.1,1013.7,86.4,9.1,90.4,7.7,5,,2024-12-10T05:14:16,2024-12-10T18:47:31,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-12-11,23.1,17.0,19.4,23.1,17.0,19.4,15.9,81.1,0.1,100,4.17,rain,0,0,41.0,23.3,141.9,1016.4,84.8,9.8,142.5,12.4,7,,2024-12-11T05:14:33,2024-12-11T18:48:08,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-12-12,25.2,16.0,20.2,25.2,16.0,20.2,15.2,74.5,0.0,0,0.0,,0,0,37.4,23.5,128.9,1017.0,58.5,10.3,208.1,18.1,8,,2024-12-12T05:14:51,2024-12-12T18:48:45,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-12-13,25.7,18.0,21.2,25.7,18.0,21.2,17.0,77.5,0.0,0,0.0,,0,0,23.4,18.9,124.0,1015.0,81.8,9.7,125.3,10.7,5,,2024-12-13T05:15:11,2024-12-13T18:49:22,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-12-14,25.5,20.5,22.2,25.5,20.5,22.2,18.3,79.1,1.0,100,4.17,rain,0,0,54.7,25.8,327.5,1011.0,82.3,10.2,95.7,8.3,4,,2024-12-14T05:15:32,2024-12-14T18:49:57,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-12-15,29.1,20.1,23.8,29.4,20.1,24.0,18.3,73.4,0.0,0,0.0,,0,0,54.4,25.8,315.1,1009.9,71.9,10.2,96.2,8.5,7,,2024-12-15T05:15:55,2024-12-15T18:50:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-12-16,28.7,20.4,24.3,28.4,20.4,24.2,15.3,60.0,0.0,0,0.0,,0,0,63.4,31.2,296.8,1013.2,36.8,10.3,190.5,16.4,7,,2024-12-16T05:16:18,2024-12-16T18:51:06,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
