,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-12-23,23.5,19.0,21.0,23.5,19.0,21.0,19.3,89.9,5.4,100,12.5,rain,0,0,45.4,20.7,145.4,1016.9,93.8,9.1,90.0,7.7,5,,2024-12-23T05:19:35,2024-12-23T18:54:41,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-12-24,25.6,18.0,21.2,25.6,18.0,21.2,17.4,79.6,0.0,0,0.0,,0,0,41.4,21.8,116.3,1017.1,82.6,10.1,148.9,12.9,6,,2024-12-24T05:20:07,2024-12-24T18:55:07,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-12-25,30.1,20.1,23.4,31.0,20.1,23.6,18.6,76.4,14.0,100,4.17,rain,0,0,38.9,17.1,63.8,1013.6,76.9,10.0,194.2,16.7,8,,2024-12-25T05:20:40,2024-12-25T18:55:33,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-12-26,24.5,20.0,21.5,24.5,20.0,21.5,20.0,91.4,14.0,100,12.5,rain,0,0,33.5,15.4,348.0,1012.5,84.7,8.7,72.0,6.2,3,,2024-12-26T05:21:14,2024-12-26T18:55:57,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-12-27,24.8,19.0,21.7,24.8,19.0,21.7,19.7,88.5,0.7,100,4.17,rain,0,0,28.4,15.1,13.4,1014.1,84.8,9.6,72.8,6.3,5,,2024-12-27T05:21:49,2024-12-27T18:56:21,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-12-28,28.2,20.8,23.2,29.6,20.8,23.4,19.9,82.3,0.0,0,0.0,,0,0,26.3,21.7,98.0,1015.9,85.4,9.8,173.1,15.0,8,,2024-12-28T05:22:25,2024-12-28T18:56:43,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-12-29,27.6,19.8,22.2,28.9,19.8,22.3,18.6,80.9,0.0,0,0.0,,0,0,38.9,23.5,106.7,1015.5,68.2,10.1,149.6,12.9,6,,2024-12-29T05:23:01,2024-12-29T18:57:04,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-12-30,27.6,19.8,22.0,28.5,19.8,22.1,18.1,79.5,0.0,0,0.0,,0,0,27.7,21.4,107.8,1015.3,77.3,10.1,134.9,11.8,7,,2024-12-30T05:23:39,2024-12-30T18:57:24,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
