,datetime,description,icon
0,2024-12-23,Cloudy skies throughout the day with rain.,rain
1,2024-12-24,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-12-25,Partly cloudy throughout the day with late afternoon rain.,rain
3,2024-12-26,Partly cloudy throughout the day with rain.,rain
4,2024-12-27,Partly cloudy throughout the day with late afternoon rain.,rain
5,2024-12-28,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-12-29,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-12-30,Partly cloudy throughout the day.,partly-cloudy-day
