,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-12-30,27.6,19.8,22.0,28.5,19.8,22.1,18.1,79.5,0,0,0.0,,0,0,27.7,21.4,107.8,1015.3,77.3,10.1,134.9,11.8,7,,2024-12-30T05:23:39,2024-12-30T18:57:24,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-12-31,27.2,18.5,21.9,28.4,18.5,22.0,18.1,80.1,6,100,4.17,rain,0,0,29.2,27.9,91.9,1016.2,63.4,10.1,127.4,10.9,7,,2024-12-31T05:24:17,2024-12-31T18:57:42,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2025-01-01,29.1,19.0,22.7,29.9,19.0,22.8,18.5,79.2,6,100,4.17,rain,0,0,28.8,19.5,83.1,1015.9,67.3,10.0,151.8,13.0,8,,2025-01-01T05:24:55,2025-01-01T18:57:59,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2025-01-02,30.1,19.5,24.4,30.7,19.5,24.6,18.2,71.1,5,100,4.17,rain,0,0,43.6,20.9,287.7,1014.2,44.2,10.2,209.3,18.1,7,,2025-01-02T05:25:34,2025-01-02T18:58:15,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2025-01-03,30.0,20.8,24.3,31.3,20.8,24.6,19.2,74.2,0,0,0.0,,0,0,51.8,30.2,285.6,1012.3,47.2,10.1,191.1,16.5,7,,2025-01-03T05:26:14,2025-01-03T18:58:30,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2025-01-04,28.5,20.6,24.2,29.5,20.6,24.5,19.2,74.5,0,0,0.0,,0,0,41.4,20.4,280.5,1012.1,67.2,10.3,161.0,13.9,7,,2025-01-04T05:26:55,2025-01-04T18:58:43,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2025-01-05,27.5,19.5,22.7,28.6,19.5,22.8,18.6,78.6,0,0,0.0,,0,0,42.5,20.8,111.0,1013.3,77.0,10.1,157.3,13.7,6,,2025-01-05T05:27:36,2025-01-05T18:58:55,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2025-01-06,29.2,20.1,22.9,29.5,20.1,23.1,18.3,76.4,0,0,0.0,,0,0,42.5,27.7,135.0,1013.7,75.9,10.1,157.8,13.7,7,,2025-01-06T05:28:17,2025-01-06T18:59:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
