,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2025-01-20,31.3,22.5,26.9,33.3,22.5,27.7,19.5,65.3,0.0,0,0.0,,0,0,54.0,24.0,324.3,1013.7,47.3,10.0,202.8,17.6,7,,2025-01-20T05:38:24,2025-01-20T18:59:08,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2025-01-21,32.0,23.2,27.6,33.3,23.2,28.1,18.9,60.3,0.0,0,0.0,,0,0,51.5,28.4,310.1,1015.2,42.7,10.5,241.9,20.9,10,,2025-01-21T05:39:08,2025-01-21T18:58:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,SBSP,F7461,83721099999,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2025-01-22,32.4,22.4,26.4,33.1,22.4,26.7,19.4,68.0,0.0,0,0.0,,0,0,42.5,24.0,148.7,1018.5,46.1,10.4,158.5,13.7,6,,2025-01-22T05:39:52,2025-01-22T18:58:46,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2025-01-23,29.8,20.9,24.7,30.7,20.9,25.2,18.6,69.6,0.0,0,0.0,,0,0,55.4,23.0,109.3,1018.9,68.4,10.4,140.0,12.2,6,,2025-01-23T05:40:35,2025-01-23T18:58:32,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBKP,83075099999,F7461,SBSP,83721099999,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2025-01-24,29.7,20.0,23.7,30.9,20.0,24.0,19.4,78.5,6.0,100,4.17,rain,0,0,44.6,14.2,112.8,1018.3,66.1,9.4,139.2,12.0,6,,2025-01-24T05:41:19,2025-01-24T18:58:18,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2025-01-25,32.4,20.8,25.6,33.3,20.8,26.0,19.4,71.6,0.0,0,0.0,,0,0,38.9,20.9,347.5,1016.4,57.1,10.0,182.8,15.7,7,,2025-01-25T05:42:02,2025-01-25T18:58:01,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2025-01-26,29.6,20.9,23.1,31.5,20.9,23.3,20.1,84.1,19.0,100,8.33,rain,0,0,42.5,21.9,228.3,1016.5,74.8,9.5,86.4,7.5,5,,2025-01-26T05:42:45,2025-01-26T18:57:44,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2025-01-27,25.3,20.4,22.1,25.3,20.4,22.1,19.3,84.2,0.6,100,4.17,rain,0,0,26.6,19.3,142.4,1016.4,83.0,9.4,68.8,5.9,3,,2025-01-27T05:43:28,2025-01-27T18:57:25,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
