,datetime,tempmin,temp,tempmax
0,2025-01-20,22.5,26.9,31.3
1,2025-01-21,23.2,27.6,32.0
2,2025-01-22,22.4,26.4,32.4
3,2025-01-23,20.9,24.7,29.8
4,2025-01-24,20.0,23.7,29.7
5,2025-01-25,20.8,25.6,32.4
6,2025-01-26,20.9,23.1,29.6
7,2025-01-27,20.4,22.1,25.3
