,datetime,tempmin,temp,tempmax
0,2025-01-13,16.1,19.5,23.4
1,2025-01-14,15.8,19.1,22.5
2,2025-01-15,18.5,21.8,27.0
3,2025-01-16,21.0,23.3,28.5
4,2025-01-17,20.6,24.0,27.0
5,2025-01-18,21.0,25.9,31.5
6,2025-01-19,22.8,26.3,31.0
7,2025-01-20,22.5,26.9,31.2
