,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2025-01-13,23.4,16.1,19.5,23.4,16.1,19.5,14.1,72.1,0.0,0,0.0,,0,0,42.1,20.3,191.4,1014.6,69.2,10.6,145.3,12.7,6,,2025-01-13T05:33:17,2025-01-13T18:59:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2025-01-14,22.5,15.8,19.1,22.5,15.8,19.1,15.4,79.2,0.0,0,0.0,,0,0,44.6,18.0,144.1,1014.2,74.6,10.5,87.0,7.4,4,,2025-01-14T05:34:00,2025-01-14T18:59:41,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2025-01-15,27.0,18.5,21.8,27.9,18.5,21.9,16.9,74.1,0.0,0,0.0,,0,0,34.2,22.7,119.3,1014.8,76.9,9.9,183.5,15.9,7,,2025-01-15T05:34:44,2025-01-15T18:59:39,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2025-01-16,28.5,21.0,23.3,30.2,21.0,23.5,19.6,81.0,0.0,0,0.0,,0,0,37.8,16.5,106.9,1016.0,87.5,9.2,121.9,10.5,6,,2025-01-16T05:35:28,2025-01-16T18:59:36,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2025-01-17,27.0,20.6,24.0,28.7,20.6,24.2,19.9,79.1,1.6,100,16.67,rain,0,0,50.4,19.8,23.3,1016.9,73.0,10.5,105.8,9.1,4,,2025-01-17T05:36:12,2025-01-17T18:59:31,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2025-01-18,31.5,21.0,25.9,33.2,21.0,26.6,19.8,71.3,0.0,0,0.0,,0,0,49.7,26.2,18.7,1016.4,67.9,10.5,156.6,13.7,5,,2025-01-18T05:36:56,2025-01-18T18:59:25,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2025-01-19,31.0,22.8,26.3,33.0,22.8,27.1,20.3,70.7,0.0,0,0.0,,0,0,39.6,15.7,2.1,1015.0,48.0,10.2,122.7,10.6,6,,2025-01-19T05:37:40,2025-01-19T18:59:17,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2025-01-20,31.2,22.5,26.9,33.2,22.5,27.7,19.5,65.0,0.0,0,0.0,,0,0,54.0,23.7,322.9,1013.8,45.7,10.0,202.8,17.6,7,,2025-01-20T05:38:24,2025-01-20T18:59:08,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
