,datetime,description,icon
0,2024-11-11,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-11-12,Partly cloudy throughout the day with late afternoon rain.,rain
2,2024-11-13,Cloudy skies throughout the day.,cloudy
3,2024-11-14,Cloudy skies throughout the day.,cloudy
4,2024-11-15,Cloudy skies throughout the day.,cloudy
5,2024-11-16,Partly cloudy throughout the day with afternoon rain.,rain
6,2024-11-17,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-11-18,Partly cloudy throughout the day.,partly-cloudy-day
