,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-11-11,29.7,15.5,22.3,28.6,15.5,22.1,13.3,60.9,0.0,0,0.0,,0,0,39.2,21.6,321.9,1013.6,30.1,10.2,214.6,18.4,7,10,2024-11-11T05:16:12,2024-11-11T18:27:43,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-11-12,31.4,17.7,21.9,31.0,17.7,21.8,15.5,70.3,0.6,100,4.17,rain,0,0,49.1,28.1,150.4,1012.1,47.0,9.7,145.8,12.4,7,10,2024-11-12T05:15:48,2024-11-12T18:28:22,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-11-13,18.0,15.0,16.4,18.0,15.0,16.4,14.0,85.5,0.0,0,0.0,rain,0,0,35.3,19.5,146.0,1015.2,94.1,9.2,38.0,3.3,2,10,2024-11-13T05:15:26,2024-11-13T18:29:02,0.42,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-11-14,19.7,15.1,17.0,19.7,15.1,17.0,14.5,85.2,0.0,0,0.0,,0,0,40.3,17.7,130.4,1017.7,97.8,9.2,44.3,4.0,2,10,2024-11-14T05:15:04,2024-11-14T18:29:42,0.46,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-11-15,24.9,16.4,19.6,24.9,16.4,19.6,16.9,85.0,0.0,0,0.0,rain,0,0,33.1,21.6,122.1,1017.7,90.5,9.0,113.5,9.8,6,10,2024-11-15T05:14:44,2024-11-15T18:30:23,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-11-16,24.3,19.0,20.8,24.3,19.0,20.8,18.3,86.0,0.1,100,4.17,rain,0,0,28.8,19.6,133.8,1017.6,82.4,9.5,77.5,6.8,4,30,2024-11-16T05:14:26,2024-11-16T18:31:04,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-11-17,27.8,18.4,21.9,28.4,18.4,21.9,16.7,74.1,0.0,0,0.0,rain,0,0,22.7,19.0,127.6,1017.2,80.6,9.9,165.3,14.3,7,10,2024-11-17T05:14:09,2024-11-17T18:31:45,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,83075099999,SBKP,F7461,SBSP,83721099999,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-11-18,30.9,17.7,23.3,30.4,17.7,23.4,16.7,69.1,0.0,0,0.0,,0,0,26.6,16.3,126.2,1015.1,47.6,9.9,200.4,17.4,7,10,2024-11-18T05:13:53,2024-11-18T18:32:26,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,SBKP,F7461,SBSP,SBGR"
