,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itapevi, SP, Brasil",2024-12-16,28.7,20.4,24.3,28.4,20.4,24.2,15.3,60.0,0.0,0,0.0,,0,0,63.4,31.2,296.8,1013.2,36.8,10.3,190.5,16.4,7,,2024-12-16T05:16:18,2024-12-16T18:51:06,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
1,"Itapevi, SP, Brasil",2024-12-17,26.1,16.8,20.8,26.1,16.8,20.8,16.0,74.9,0.0,0,0.0,,0,0,36.0,23.7,147.3,1017.9,59.2,10.3,153.3,13.3,6,,2024-12-17T05:16:43,2024-12-17T18:51:40,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
2,"Itapevi, SP, Brasil",2024-12-18,26.3,17.0,20.9,26.3,17.0,20.9,15.7,73.3,0.0,0,0.0,,0,0,35.3,22.7,122.9,1018.9,58.3,10.2,190.0,16.4,8,,2024-12-18T05:17:09,2024-12-18T18:52:12,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
3,"Itapevi, SP, Brasil",2024-12-19,30.5,18.8,23.5,30.6,18.8,23.6,16.8,68.3,0.0,0,0.0,,0,0,37.1,18.2,123.8,1016.8,67.3,10.3,219.9,19.0,7,,2024-12-19T05:17:36,2024-12-19T18:52:44,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
4,"Itapevi, SP, Brasil",2024-12-20,30.2,20.2,23.8,31.6,20.2,24.1,19.0,75.4,18.3,100,8.33,rain,0,0,68.6,35.9,347.3,1013.5,82.1,9.3,140.5,12.1,7,,2024-12-20T05:18:04,2024-12-20T18:53:15,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
5,"Itapevi, SP, Brasil",2024-12-21,27.6,20.6,22.4,29.3,20.6,22.5,19.7,85.0,4.0,100,8.33,rain,0,0,31.3,20.8,7.5,1015.2,90.6,9.2,92.7,8.0,5,,2024-12-21T05:18:33,2024-12-21T18:53:44,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
6,"Itapevi, SP, Brasil",2024-12-22,27.2,20.5,23.2,28.2,20.5,23.3,19.4,80.5,0.0,0,0.0,,0,0,26.6,19.5,179.9,1016.0,89.9,9.0,113.5,9.7,5,,2024-12-22T05:19:04,2024-12-22T18:54:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBMT,83779099999,F7461,SBSP,SBGR,83780099999"
7,"Itapevi, SP, Brasil",2024-12-23,23.5,19.0,21.0,23.5,19.0,21.0,19.3,89.9,5.4,100,12.5,rain,0,0,45.4,20.7,145.4,1016.9,93.8,9.1,90.0,7.7,5,,2024-12-23T05:19:35,2024-12-23T18:54:41,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"SBMT,83779099999,SBSP,F7461,SBGR,83780099999"
